,name,github_id,pypi_id,conda_id,npm_id,dockerhub_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_monthly_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending
10,DPGEN2,deepmodeling/dpgen2,dpgen2,,,dptechnology/dpgen2,https://github.com/deepmodeling/dpgen2,https://github.com/deepmodeling/dpgen2,LGPL-3.0,2022-02-28 02:41:16,2026-06-08 16:30:27.503137,2026-06-08 16:28:43,364,10.0,36.0,6.0,289.0,19.0,29.0,40,2023-01-28 03:43:25,0.0.7,,203.0,7.0,2nd generation of the Deep Potential GENerator.,6.0,6.0,19,https://pypi.org/project/dpgen2,115.0,,,,,,https://hub.docker.com/r/dptechnology/dpgen2,2026-06-08 16:30:27.503137,,4616.0,17,True,others,2,
11,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,,dptechnology/dflow,https://github.com/deepmodeling/dflow,https://github.com/deepmodeling/dflow,LGPL-3.0,2022-01-21 08:14:36,2026-01-21 07:08:16.591515,2026-01-21 07:05:50,2277,,30.0,1.0,914.0,13.0,23.0,82,2026-01-21 07:06:16,1.8.133,,378.0,100.0,Dflow is a Python framework for constructing scientific computing workflows (e.g. concurrent learning workflows)..,,,23,https://pypi.org/project/dflow,,https://anaconda.org/conda-forge/dflow,,,,,https://hub.docker.com/r/dptechnology/dflow,2026-01-21 07:08:16.591515,,20063.0,16,True,others,2,-1.0
12,DeePTB,deepmodeling/DeePTB,dptb,,,,https://github.com/deepmodeling/DeePTB,https://github.com/deepmodeling/DeePTB,LGPL-3.0,2023-07-11 03:19:42,2026-06-08 20:13:27.000000,2026-06-03 15:56:50,850,12.0,31.0,2.0,266.0,23.0,42.0,114,2025-05-07 14:02:40,2.2.0,,137.0,12.0,DeePTB: A deep learning package for tight-binding Hamiltonian with ab initio accuracy.,4.0,4.0,15,https://pypi.org/project/dptb,137.0,,,,,,,,,,15,True,others,2,
13,DP-GUI,deepmodeling/dpgui,dpgui,,,,https://github.com/deepmodeling/dpgui,https://github.com/deepmodeling/dpgui,LGPL-3.0,2021-07-21 18:48:23,2026-06-08 20:28:36.000000,2025-08-26 11:26:26,326,,5.0,5.0,554.0,,1.0,9,2024-11-17 07:05:49,1.0.1.post0,,57917.0,5.0,A web-based GUI for user inputs.,14.0,14.0,4,https://pypi.org/project/dpgui,57917.0,,,,,,,,,,14,True,others,2,-1.0
14,DMFF,deepmodeling/DMFF,,conda-forge/dmff,,,https://github.com/deepmodeling/DMFF,https://github.com/deepmodeling/DMFF,LGPL-3.0,2022-02-14 01:35:50,2026-04-07 01:20:04.000000,2026-04-07 00:52:04,441,1.0,49.0,8.0,182.0,8.0,20.0,196,2023-11-09 14:32:37,1.0.0,,116.0,4.0,DMFF (Differentiable Molecular Force Field) is a Jax-based python package that provides a full differentiable..,,,17,,,https://anaconda.org/conda-forge/dmff,2025-04-22 14:58:55.028,3379.0,,,,,,,13,True,others,2,
15,rid-kit,deepmodeling/rid-kit,rid-kit,,,,https://github.com/deepmodeling/rid-kit,https://github.com/deepmodeling/rid-kit,LGPL-3.0,2021-02-02 02:44:00,2025-03-31 04:23:22.000000,2025-03-31 04:21:54,477,,25.0,4.0,21.0,2.0,3.0,52,2024-05-14 03:25:35,0.6.4,148.0,117.0,5.0,Reinforced dynamics.,2.0,2.0,14,https://pypi.org/project/rid-kit,115.0,,,,,,,,,,12,True,others,3,
16,GPUMD,deepmodeling/GPUMD,,,,,https://github.com/deepmodeling/GPUMD,https://github.com/deepmodeling/GPUMD,GPL-3.0,2024-06-18 05:40:21,2026-06-09 14:34:09.000000,2026-06-09 13:28:02,6867,386.0,,,,,,13,,,,,,Graphics Processing Units Molecular Dynamics.,,,61,,,,,,,,,,,,12,True,others,3,
17,dpti,deepmodeling/dpti,dpti,,,,https://github.com/deepmodeling/dpti,https://github.com/deepmodeling/dpti,LGPL-3.0,2021-04-04 13:57:37,2026-06-08 20:29:02.000000,2026-05-12 22:48:48,448,16.0,23.0,6.0,107.0,9.0,1.0,36,,,,54.0,,A Python Package to Automate Thermodynamic Integration Calculations for Free Energy.,2.0,2.0,17,https://pypi.org/project/dpti,54.0,,,,,,,,,,11,True,others,3,
18,deepmodeling_sphinx,deepmodeling/deepmodeling_sphinx,deepmodeling_sphinx,,,,https://github.com/deepmodeling/deepmodeling_sphinx,https://github.com/deepmodeling/deepmodeling_sphinx,LGPL-3.0,2022-03-04 00:19:06,2026-06-08 20:28:34.000000,2026-05-31 18:45:20,86,5.0,6.0,5.0,79.0,,1.0,2,2026-05-31 18:46:03,0.4.1,,4399.0,28.0,Sphinx extension for DeepModeling projects.,,,8,https://pypi.org/project/deepmodeling_sphinx,4399.0,,,,,,,,,,11,True,others,3,-1.0
19,fealpy,deepmodeling/fealpy,fealpy,,,,https://github.com/deepmodeling/fealpy,https://github.com/deepmodeling/fealpy,,2023-04-10 03:58:57,2025-05-09 01:36:48.000000,2025-04-28 09:12:41,9611,,2.0,,1.0,,,6,,,,289.0,,Finite Element Analysis Library in Python.,,,69,https://pypi.org/project/fealpy,289.0,,,,,,,,,,10,True,others,3,
20,args,deepmodeling/args,,,@deepmodeling/args,,https://github.com/deepmodeling/args,https://github.com/deepmodeling/args,LGPL-3.0,2021-12-27 03:27:24,2026-05-19 00:39:45.000000,2025-12-15 15:39:22,88,,2.0,4.0,74.0,,,2,2025-03-06 02:44:56,0.1.1,,155.0,18.0,DeepModeling dargs arguments generation.,5.0,5.0,3,,,,,,https://www.npmjs.com/package/@deepmodeling/args,155.0,,,,,10,True,others,3,
21,DeePKS-kit,deepmodeling/deepks-kit,,,,,https://github.com/deepmodeling/deepks-kit,https://github.com/deepmodeling/deepks-kit,LGPL-3.0,2020-07-29 03:27:50,2025-04-28 21:22:59.000000,2025-04-28 21:22:58,385,,36.0,13.0,47.0,14.0,17.0,118,,,,,,a package for developing machine learning-based chemically accurate energy and density functional models.,,,7,,,,,,,,,,,,9,True,others,3,
22,fpop,deepmodeling/fpop,fpop,,,,https://github.com/deepmodeling/fpop,https://github.com/deepmodeling/fpop,LGPL-3.0,2023-02-10 03:16:47,2024-07-01 09:11:36.000000,2024-07-01 09:11:36,42,,12.0,9.0,26.0,4.0,,3,,,,612.0,,,16.0,16.0,4,https://pypi.org/project/fpop,612.0,,,,,,,,,,9,True,others,3,
23,AIS-Square,deepmodeling/AIS-Square,,,,,https://github.com/deepmodeling/AIS-Square,https://github.com/deepmodeling/AIS-Square,LGPL-3.0,2022-09-13 09:52:30,2026-06-10 05:38:49.000000,2026-06-10 05:38:49,1300,32.0,9.0,8.0,211.0,5.0,1.0,14,,,,,,,,,8,,,,,,,,,,,,8,True,others,3,
24,community,deepmodeling/community,,,,,https://github.com/deepmodeling/community,https://github.com/deepmodeling/community,,2021-05-06 04:50:02,2025-12-25 02:14:41.000000,2025-12-25 02:14:41,179,,24.0,10.0,56.0,,2.0,95,,,,,,DeepModeling community content.,,,20,,,,,,,,,,,,7,True,others,3,
25,Uni-Fold,deepmodeling/Uni-Fold,,,,dptechnology/unifold,https://github.com/deepmodeling/Uni-Fold,https://github.com/deepmodeling/Uni-Fold,Apache-2.0,2021-12-07 14:40:37,2024-04-11 02:15:21.000000,2022-08-18 15:27:32,29,,19.0,5.0,2.0,,1.0,94,,,,29.0,,,,,3,,,,,,,,https://hub.docker.com/r/dptechnology/unifold,2024-01-08 06:24:09.367953,,1608.0,7,True,others,3,
26,Blog,deepmodeling/blog,,,,,https://github.com/deepmodeling/blog,https://github.com/deepmodeling/blog,LGPL-3.0,2021-06-10 23:11:55,2026-06-11 08:22:33.000000,2026-06-11 08:22:31,390,1.0,9.0,6.0,343.0,,,3,,,,,,DeepModeling Blog.,,,11,,,,,,,,,,,,7,True,others,3,-1.0
27,tbplas,deepmodeling/tbplas,,,,,https://github.com/deepmodeling/tbplas,https://github.com/deepmodeling/tbplas,,2024-02-29 03:21:24,2024-04-11 02:16:51.000000,2024-01-17 13:25:05,662,,6.0,9.0,2.0,3.0,,18,2024-03-01 09:33:35,1.6,,,1.0,Repository of TBPLaS (tight-binding package for large-scale simulation).,,,10,,,,,,,,,,,,6,True,others,3,
28,tutorials,deepmodeling/tutorials,,,,,https://github.com/deepmodeling/tutorials,https://github.com/deepmodeling/tutorials,,2022-03-07 06:19:19,2026-03-11 03:01:34.000000,2026-03-11 02:48:33,147,,23.0,4.0,72.0,1.0,3.0,17,,,,,,Tutorials for DeepModeling projects.,,,12,,,,,,,,,,,,6,True,others,3,
29,docs,deepmodeling/docs,,,,,https://github.com/deepmodeling/docs,https://github.com/deepmodeling/docs,LGPL-3.0,2021-07-05 00:32:29,2024-10-28 21:42:38.000000,2024-10-28 21:42:38,28,,7.0,5.0,24.0,,,3,,,,,,The home page of DeepModeling documentation.,,,8,,,,,,,,,,,,6,True,others,3,
30,AI4Science101,deepmodeling/AI4Science101,,,,,https://github.com/deepmodeling/AI4Science101,https://github.com/deepmodeling/AI4Science101,,2022-06-19 02:26:48,2024-04-11 02:15:55.000000,2022-09-04 02:06:18,139,,16.0,9.0,29.0,,1.0,102,,,,,,AI for Science.,,,5,,,,,,,,,,,,5,True,others,3,
31,ADMP,deepmodeling/ADMP,,,,,https://github.com/deepmodeling/ADMP,https://github.com/deepmodeling/ADMP,,2021-12-26 07:22:47,2024-04-11 02:15:25.000000,2022-02-15 02:13:59,120,,3.0,,6.0,,,3,,,,,,Automatic Differentiation Multipole Moment Molecular Forcefield.,,,7,,,,,,,,,,,,5,True,others,3,
32,DeepH-pack,deepmodeling/DeepH-pack,,,,,https://github.com/deepmodeling/DeepH-pack,https://github.com/deepmodeling/DeepH-pack,LGPL-3.0,2022-07-19 08:07:24,2024-04-11 02:16:01.000000,2023-12-28 12:48:09,56,,6.0,1.0,2.0,4.0,2.0,14,,,,,,Deep neural networks for density functional theory Hamiltonian.,,,6,,,,,,,,,,,,4,True,others,3,
33,DeePDih,deepmodeling/DeePDih,,,,,https://github.com/deepmodeling/DeePDih,https://github.com/deepmodeling/DeePDih,MIT,2024-03-03 13:22:19,2026-04-07 09:18:59.000000,2026-04-07 09:18:53,65,2.0,3.0,2.0,,,,6,2024-12-21 09:53:32,dpa-2-gfn2-xtb-tblite,8.0,0.0,1.0,Deep Potential driven molecular dihedral scan toolkit.,,,2,,,,,,,,,,,,4,True,others,3,
34,tutorials-cn,deepmodeling/tutorials-cn,,,,,https://github.com/deepmodeling/tutorials-cn,https://github.com/deepmodeling/tutorials-cn,LGPL-2.1,2022-03-30 07:39:32,2024-04-11 02:15:41.000000,2022-12-29 11:58:55,9,,8.0,5.0,14.0,,,6,,,,,,,,,4,,,,,,,,,,,,4,True,others,3,
35,LibRI,deepmodeling/LibRI,,,,,https://github.com/deepmodeling/LibRI,https://github.com/deepmodeling/LibRI,GPL-3.0,2023-04-19 02:10:20,2025-02-18 05:21:27.000000,2025-01-10 16:30:29,127,,1.0,1.0,1.0,2.0,1.0,6,,,,,,,,,3,,,,,,,,,,,,2,True,others,3,
36,openfinite,deepmodeling/openfinite,,,,,https://github.com/deepmodeling/openfinite,https://github.com/deepmodeling/openfinite,LGPL-3.0,2021-10-10 08:56:48,2024-04-11 02:15:14.000000,2021-10-06 08:13:39,13,,2.0,,1.0,,,1,,,,,,,,,2,,,,,,,,,,,,1,True,others,3,
37,dflow-op-cutter,deepmodeling/dflow-op-cutter,,,,,https://github.com/deepmodeling/dflow-op-cutter,https://github.com/deepmodeling/dflow-op-cutter,,2022-06-24 01:31:42,2024-04-11 02:15:58.000000,2022-07-06 09:54:08,4,,2.0,4.0,1.0,,1.0,1,,,,,,,,,2,,,,,,,,,,,,-1,True,others,3,
